序号,课程编码,课程名称,英文名称,课程属性,所属学科/专业,课时/学分,主讲教师,教师所属单位
768,15MGB001H-014,英语A-14班（怀）,MS English Program,公共必修课,,36/3.0,苏衡,北京航空航天大学
769,15MGB001H-015,英语A-15班（怀）,MS English Program,公共必修课,,36/3.0,苏衡,北京航空航天大学
770,15MGB001H-016,英语A-16班（怀）,MS English Program,公共必修课,,36/3.0,孙海洋,外语系
771,15MGB001H-017,英语A-17班（怀）,MS English Program,公共必修课,,36/3.0,张继琴,其它
772,15MGB001H-018,英语A-18班（怀）,MS English Program,公共必修课,,36/3.0,李利军,外语系
773,15MGB001H-019,英语A-19班（怀）,MS English Program,公共必修课,,36/3.0,杜垚,外语系
774,15MGB001H-020,英语A-20班（怀）,MS English Program,公共必修课,,36/3.0,杨阳,外语系
775,15MGB001H-021,英语A-21班（怀）,MS English Program,公共必修课,,36/3.0,杨阳,外语系
776,15MGB001H-022,英语A-22班（怀）,MS English Program,公共必修课,,36/3.0,葛全顺,北京交通大学
777,15MGB001H-023,英语A-23班（怀）,MS English Program,公共必修课,,36/3.0,姜文东,外语系
778,15MGB001H-024,英语A-24班（怀）,MS English Program,公共必修课,,36/3.0,范嘉舜,外语系
779,15MGB001H-025,英语A-25班（怀）,MS English Program,公共必修课,,36/3.0,刘彬,外语系
780,15MGB001H-026,英语A-26班（怀）,MS English Program,公共必修课,,36/3.0,孙丽冰,外语系
781,15MGB001H-027,英语A-27班（怀）,MS English Program,公共必修课,,36/3.0,孙丽冰,外语系
