序号,课程编码,课程名称,英文名称,课程属性,所属学科/专业,课时/学分,主讲教师,教师所属单位
412,102M4007H-2,微机电系统基础,Micro-Electro-Mechanical System,专业核心课,电路与系统,50/3.0,"袁泉,杨晋玲",半导体研究所
413,102M4007H-3,微机电系统基础,Foundations of Sensors and MEMS,专业核心课,电路与系统,50/3.0,易卫东,电子电气与通信工程学院
414,102M4009H,天线理论与设计,Antenna Theory and Design,专业核心课,物理电子学,50/3.0,薛谦忠,电子学研究所
415,102M4012H,高等模拟集成电路分析与设计,Advanced Analog Integrated Circuits Design,专业核心课,电路与系统,60/4.0,"刘力源,刘鸣",半导体研究所
416,102M5004H,最优化方法,Methods of Optimization,专业普及课,电子科学与技术,40/2.5,赵振江,人文学院
417,102M5005H,微电子系统封装,Microelectronics Packaging,专业普及课,电路与系统,50/3.0,万里兮,微电子研究所
418,102M5006H,现代传感器技术与应用,Modern Transducers Technology and Application,专业普及课,电路与系统,60/4.0,赵湛,电子学研究所
419,102M6002H,微传感器与微系统,Microsensors and Microsystems,专业研讨课,电路与系统,20/1.0,夏善红,电子学研究所
420,102M6007H,导波光学传感理论与技术,Theory and Technology of Optical Waveguide Sensors,专业研讨课,电路与系统,20/1.0,祁志美,电子学研究所
421,102M6010H,飞秒激光技术应用,Femtosecond Technology Applications,专业研讨课,物理电子学,20/1.0,孙辉,光电研究院
422,102M6011H,太阳能光伏技术与应用,Solar Photovoltaic Technologies and Application,专业研讨课,物理电子学,30/2.0,韩培德,半导体研究所
423,103M1003H,数学物理方法（电子与通信类）,Methods of Mathematical Physics,一级学科核心课,电子科学与技术,60/4.0,朱振刚,电子电气与通信工程学院
424,103M4002H,现代电力系统,Modern Power System Analysis,专业核心课,电力系统及其自动化,60/4.0,"叶华,裴玮",电工研究所
425,103M4004H,高电压技术,High Voltage Engineering,专业核心课,高电压与绝缘技术,50/3.0,严萍,电工研究所
426,103M4005H,生物医学工程,Biomedical Engineering,专业核心课,生物电工,50/3.0,陈靖容,电子电气与通信工程学院
427,103M5001H,气体放电与低温等离子体,Gas Discharge and Low-Temperature Plasma Technology,专业普及课,高电压与绝缘技术,30/2.0,"邵涛,章程",电工研究所
428,103M6003H,超导精密测量技术及误差理论,Superconducting Precision Measurement and Error Theory,专业研讨课,高电压与绝缘技术,20/1.0,胡新宁,电工研究所
429,111M4002H,连续介质力学（流体）,Continuity Mechanics (Fluid Mechanics),专业核心课,,60/3.0,吴应湘,力学研究所
430,111M4003H,连续介质力学（固体）,Continuum Mechanics (Solid),专业核心课,,60/3.0,"赵亚溥,袁泉子",力学研究所
431,111M4004H,力学实验原理与技术,The Measuremental Principles and Techniques in Experiments of Mechanics,专业核心课,,60/3.0,"谢季佳,李战华",力学研究所
432,111M4006H,有限元方法,Finite Element Methods,专业核心课,,60/3.0,张年梅,工程科学学院
433,111M4007H,材料物理基础,Fundamentals of materials physics,专业核心课,,50/2.5,"武晓雷,袁福平",力学研究所
434,111M4008H,高等流体力学,Advanced Fluid Mechanics,专业核心课,,60/3.0,"余永亮,何国威",工程科学学院
435,111M4010H,固体力学导论,Introduction to Solid Mechanics,专业核心课,,60/3.0,"魏宇杰,苏业旺",工程科学学院
436,111M4011H-1,流体力学导论,Introduction to Fluid Dynamics,专业核心课,,60/3.0,"刘秋生,王智慧",工程科学学院
437,111M4011H-2,流体力学导论,Introduction to Fluid Dynamics,专业核心课,,60/3.0,姚朝晖,工程科学学院
438,111M4012H,量纲分析,Dimensional Analysis,专业核心课,,60/3.0,"张旭辉,谈庆明",力学研究所
439,111M4027H,高等岩石力学,Advanced Rock Mechanics,专业核心课,,40/2.0,"盛谦,胡大伟",武汉岩土力学研究所
440,111M5001H,非线性动力学与混沌,Nonlinear Dynamics and Chaos,专业普及课,,40/2.0,武作兵,力学研究所
441,111M5002H,生物力学,Biomechanics,专业普及课,,40/2.0,"龙勉,吕守芹",力学研究所
442,111M5003H,应用偏微分方程与科学计算,Applied Partial Differential Equations and Scientific Computing,专业普及课,,50/2.5,马石庄,地球与行星科学学院
443,111M5006H,张量分析,tensor analysis,专业普及课,,40/2.0,"余新刚,汪海英",工程科学学院
444,111M5008H,高等结构动力学,Advanced Structural Dynamics,专业普及课,,60/3.0,"陈伟民,张吟",力学研究所
445,111M5010H,气体动力学基础,Gas Dynamics,专业普及课,,36/2.0,"姜宗林,胡宗民",力学研究所
446,111M5011H,渗流力学,Mechanics of underground water flow,专业普及课,,40/2.0,"吴梦喜,刘青泉",力学研究所
447,112M4001H,高等工程热力学,Advanced Engineering Thermodynamics,专业核心课,,80/4.0,"曹玉会,聂超群",工程科学学院
448,112M4002H,高等传热学,Advanced Heat Transfer,专业核心课,,70/3.5,"姜玉雁,王增辉",工程热物理研究所
449,112M4003H,热物理实验原理与技术,Principle and Technology of Experiment in Thermophysics,专业核心课,,50/2.5,李骥,工程科学学院
450,112M4007H,制冷与低温测试原理与技术,Principle and technology of refrigeration and low temperature testing,专业核心课,,50/2.5,"洪国同,李青",理化技术研究所
451,112M5001H,化工原理,Principle of Chemical Engineering,专业普及课,,40/2.0,刘伟,其它
452,113M5001H,太阳能热发电技术,Solar thermal power technology,专业普及课,,50/2.5,"王志峰,宫博",电工研究所
453,115M1002H,高级管理学,Advanced Management,专业核心课,,40/2.0,王国庆,工程科学学院
454,115M1003H,工程论证与决策,Engineering Development and Decision,专业核心课,,40/2.0,詹伟,工程科学学院
455,115M1004H,管理中的数学方法及应用,Mathematical Methods and its Application in Management,专业核心课,,40/2.0,杨文国,数学科学学院
456,115M1005H,工程管理概论,Introduction to Engineering Management,专业核心课,,40/2.0,于华,工程科学学院
457,115M1007H,大型复杂工程管理,Mega and Complex Projects Management,专业核心课,,40/2.0,宋元涛,工程科学学院
458,115M2002H,工程造价管理,Project cost management,专业普及课,,40/2.0,刘曰武,力学研究所
459,11MGB003H-01,工程伦理通论,Engineering ethics,公共必修课,,6/0.5,姜卉,工程科学学院
460,11MGB003H-02,工程伦理通论,Engineering ethics,公共必修课,,6/0.5,姜卉,工程科学学院
461,11MGB003H-03,工程伦理通论,Engineering ethics,公共必修课,,6/0.5,姜卉,工程科学学院
462,11MGB003H-04,工程伦理-资环,Engineering ethics,公共必修课,,2/0.0,肖康,资源与环境学院
463,11MGB003H-05,工程伦理-生物,Engineering ethics,公共必修课,,2/0.0,陆忠兵,生命科学学院
464,11MGB003H-06,工程伦理-信息,Engineering ethics,公共必修课,,2/0.0,陈德元,电子电气与通信工程学院
465,11MGB003H-07,工程伦理-机械,Engineering ethics,公共必修课,,2/0.0,王生,光电研究院
466,11MGB003H-08,工程伦理-材料,Engineering ethics,公共必修课,,2/0.0,王晓东,材料科学与光电技术学院
467,11MGB003H-09,工程伦理-化学,Engineering ethics,公共必修课,,2/0.0,李增喜,化学科学学院
468,11MGB003H-10,工程伦理-核能,Engineering ethics,公共必修课,,2/0.0,魏龙,高能物理研究所
469,121D2001Z,研究生科研素养培养,The Cultivation of Scientific Literacy,一级学科普及课,,30/1.0,汪寿阳,数学与系统科学研究院
470,121D2002Z,创新管理与创新测度,Innovation Management & Innovation Measurement,一级学科普及课,,40/2.0,官建成,经济与管理学院
471,121D2003Z,管理学研究的数据分析方法,Big Data Analysis Based on Management Principle,一级学科普及课,,20/1.0,吕本富,经济与管理学院
472,121D2013Z,管理学研究方法论,Management Research Methodology,专业课,,40/2.0,尹红霞,经济与管理学院
473,121M1002H,高级管理学,Advanced Strategic Management,一级学科核心课,管理科学与工程,80/4.0,"吕萍,徐艳梅",经济与管理学院
474,121M1003H,数量经济模型与工具应用,Mathematical Economics: Models and Tools,一级学科核心课,管理科学与工程,80/4.0,"汪寿阳,杨翠红",数学与系统科学研究院
475,121M1004H,管理科学方法论与工具应用,Scientific Management Methodology And Tools Applications,一级学科核心课,,60/3.0,"柳卸林,董纪昌",经济与管理学院
476,121M5001H,运筹学,Operations Research,专业普及课,管理运筹学,40/2.0,官建成,经济与管理学院
477,121M5005H,决策分析,Decision Analysis,专业普及课,管理科学与工程,40/2.0,"董纪昌,董志",研究生院本部
478,121M5006H,博弈论,Game theory,专业普及课,管理科学与工程,40/2.0,乔晗,经济与管理学院
479,121M5007H,科研统计方法,Seminar on Statistical Methods in Scientific Research,专业普及课,管理运筹学,40/2.0,张建方,经济与管理学院
480,122M4003H,财务报表阅读与分析,Financial Statement Reading & Analysis,专业核心课,会计学,40/2.0,"王冬梅,吴少平",经济与管理学院
481,122M5002H,营销管理,Marketing Management,专业普及课,企业管理,40/2.0,"赵红,张莎",经济与管理学院
482,122M5006H,技术创新与创业经济学,Economics OF Innovation And Entrepreneurship,专业普及课,技术经济及管理,40/2.0,柳卸林,经济与管理学院
483,123M5005H,金融工程,Financial Engineering,专业普及课,金融学,50/2.0,"吴德胜,邓智斌",经济与管理学院
484,123M5006H,金融统计与计量经济学,Financial Statistics and Econometrics,专业普及课,金融学,40/2.0,"陈敏,孙佳婧",经济与管理学院
485,123M5009H,货币金融学,"The Economics of Money, Banking and Financial Markets",专业普及课,金融学,40/2.0,宋吟秋,经济与管理学院
486,123M5013H,试验优化与产品设计,The Experimental Optimization and Product Design,专业普及课,管理科学与工程,40/2.0,张建方,经济与管理学院
487,123M6011H,环境经济学研讨课,Seminar on Environmental Economics,专业研讨课,应用经济学（统计学）,30/1.0,"吴德胜,张元勋",资源与环境学院
488,124M1001H,现代情报学理论与方法,AIntroduction of Modern Library and Information Science,专业核心课,情报学,50/3.0,刘细文,中国科学院文献情报中心
489,124M1002H,现代图书馆学理论与方法,Theories and Methods of Modern Librarianship,专业核心课,图书馆学,50/3.0,初景利,中国科学院文献情报中心
490,124M2003H,信息用户与服务研究,Information User and Service Studies,专业普及课,图书馆学,30/2.0,顾立平,中国科学院文献情报中心
491,124M2004H,情报分析与研究,Information analysis,专业普及课,情报学,30/2.0,李宏,中国科学院科技战略咨询研究院
492,124M2005H,信息计量学及其应用,Informetrics and Its Application,专业普及课,,30/2.0,袁军鹏,中国科学院文献情报中心
493,12MGB001H-01,科技信息检索与利用实用技巧（化学化工领域）,Information Retrieval Skills for Chemistry and MaterialsInformation Retrieval for Computer Science,公共必修课,,27/1.0,吴鸣,中国科学院文献情报中心
494,12MGB001H-02,科技信息检索与利用实用技巧（生命科学领域）,Information Retrieval for Computer Science,公共必修课,,27/1.0,李扬,中国科学院文献情报中心
495,12MGB001H-03,科技信息检索与利用实用技巧（地球资环领域）,Information Retrieval for Computer Science,公共必修课,,27/1.0,彭皓,中国科学院文献情报中心
496,12MGB001H-04,科技信息检索与利用实用技巧（计算机领域）,Information Retrieval for Computer Science,公共必修课,,27/1.0,李玲,中国科学院文献情报中心
497,12MGB001H-05,科技信息检索与利用实用技巧（电子领域）,Information RetrievalInformation Retrieval for Computer Science,公共必修课,,27/1.0,于健,中国科学院文献情报中心
498,12MGB001H-06,科技信息检索与利用实用技巧（工程材料与光电技术领域）,Information Retrieval for Computer Science,公共必修课,,27/1.0,董兰军,中国科学院文献情报中心
499,12MGB001H-07,科技信息检索与利用实用技巧,Practical Skills of Scientific Information RetrievalInformation Retrieval for Computer Science,公共必修课,,27/1.0,王保成,中国科学院文献情报中心
500,12MGB001H-08,科技信息检索与利用实用技巧,Information Retrieval for Computer Science,公共必修课,,27/1.0,宋秀芳,中国科学院文献情报中心
501,12MGX001H-09,科技信息检索与利用实用技巧,Information Retrieval for Computer Science,公共选修课,,27/1.0,闫亚飞,中国科学院文献情报中心
502,12MGX001H-10,科技信息检索与利用实用技巧,Information Retrieval for Computer Science,公共选修课,,27/1.0,张冬荣,中国科学院文献情报中心
503,12MGX003H,面板数据计量经济分析,Econometric Analysis of Panel Data,公共选修课,,40/1.0,胡毅,经济与管理学院
504,12MGX004H,统计分析与Stata应用,Statistical Analysis Using Stata,公共选修课,,40/1.0,胡毅,经济与管理学院
505,12MGX009H,项目管理,project management,公共选修课,,40/1.0,张思,经济与管理学院
506,12MGX030H,创新与创业管理,Innovation and entrepreneurship,公共选修课,,40/1.0,卢涛,经济与管理学院
507,12MGX032H,危机管理,Crisis Management,公共选修课,,40/1.0,乔晗,经济与管理学院
508,12MGX035H,随机优化与算法,Stochastic optimization and algorithm,公共选修课,,40/1.0,姚凯,经济与管理学院
509,12MGX046H,行为金融学,Behavioral Finance,公共选修课,,40/1.0,李秀婷,经济与管理学院
510,12MGX058H,职业生涯管理,Career Management,公共选修课,,40/1.0,赵红,经济与管理学院
511,12MGX061H,风险投资,Venture Capital,公共选修课,,40/1.0,张矢的,经济与管理学院
512,12MGX072H,风险管理,Risk Management,公共选修课,,40/1.0,姚凯,经济与管理学院
513,12MGX098H,城市与房地产经济学,Urban and Real Estate Economics,公共选修课,,40/1.0,李秀婷,经济与管理学院
514,12MGX100H,经济地理学,Economic Geography,公共选修课,,40/1.0,郑丹,经济与管理学院
515,12MGX118H,管理经济学,managerial economics,公共选修课,,40/1.0,孙毅,经济与管理学院
516,12MGX119H,大数据管理与应用,Management and Applications Based on Big Data,公共选修课,,40/1.0,孙毅,经济与管理学院
517,12MGX120H,创造力开发与管理,Creativity Development and Management,公共选修课,,40/1.0,汤超颖,经济与管理学院
518,12MGX123H,国际商务礼仪,International Business Etiquette,公共选修课,,40/1.0,张秋柳,经济与管理学院
519,12MGX139H,统计学习与R应用,Statistical Learning with Applications in R,公共选修课,,40/1.0,尹红霞,经济与管理学院
520,12MGX140H,区块链金融,Finance of BlockChains,公共选修课,,30/1.0,魏先华,经济与管理学院
521,12MGX141H,实用数据统计分析,Statistical Analysis of General Data in Daily Life & Research,公共选修课,,30/1.0,王春,中国科学院文献情报中心
522,12MGX142H-1,科学数据管理与应用,The Management and Application of Research Data,公共选修课,,30/1.0,青秀玲,中国科学院文献情报中心
523,12MGX142H-2,科学数据管理与应用,The Management and Application of Research Data,公共选修课,,30/1.0,许哲平,中国科学院文献情报中心
524,12MGX143H,专利申请实务,Patent application practices,公共选修课,,30/1.0,李玲,中国科学院文献情报中心
525,12MGX147H,能源经济与绿色发展,Energy economics and green development,公共选修课,,30/1.0,李娜,研究生院本部
526,12MGX149H,数据分析与统计机器学习,Data Analytics and Statistical Machine Learning,公共选修课,,40/1.0,王曙明,经济与管理学院
527,12MGX150H,应用统计学基础,Applied Statistics,公共选修课,,30/1.0,朱晓燕,经济与管理学院
528,131D2003Z,可持续发展管理学,Management Science of Sustainable Development,一级学科普及课,管理科学与工程,36/2.0,"陈劭锋,刘怡君",中国科学院科技战略咨询研究院
529,131D2004Z,科技管理理论与方法,Theory and methodology of S&T management,一级学科普及课,管理科学与工程,36/2.0,李晓轩,中国科学院科技战略咨询研究院
530,131D2006Z,管理学研究方法,Methodology of Management Research,一级学科普及课,管理科学与工程,36/2.0,"池宏,许保光",中国科学院科技战略咨询研究院
531,131D2009Z,高级战略管理学,Strategy Management,一级学科普及课,管理科学与工程,36/2.0,霍国庆,公共政策与管理学院
532,131D2010Z,科技政策研究方法论,Methodology for Science and Technology Policy Research,一级学科普及课,管理科学与工程,36/2.0,"樊永刚,方新",中国科学院科技战略咨询研究院
533,131D2011Z,风险分析与决策,Risk Analysis and Decision Marking,一级学科普及课,管理科学与工程,36/2.0,"李建平,吴登生",公共政策与管理学院
534,131M1002H,科技战略管理,S&T Strategic Management,一级学科核心课,管理科学与工程,54/3.0,"张古鹏,霍国庆",公共政策与管理学院
535,131M1004H,创新经济学,the economics of innovation,一级学科核心课,管理科学与工程,54/3.0,"顾淑林,温珂",中国科学院科技战略咨询研究院
536,131M1005H,可持续发展理论与实践,Theory and Practices in Sustainable Development,一级学科核心课,管理科学与工程,54/3.0,"陈劭锋,王毅",公共政策与管理学院
537,131M2004H,现代化科学导论,Introduction to Modernization Science,一级学科普及课,管理科学与工程,36/2.0,"叶青,何传启",中国科学院文献情报中心
538,131M2006H,可持续发展管理学导论,Introduction to Management Science for Sustainable development,一级学科普及课,管理科学与工程,36/2.0,"陈劭锋,李颖明",中国科学院科技战略咨询研究院
539,131M3006H,气候变化经济学,The Economics of Climate Change,一级学科研讨课,管理科学与工程,20/1.0,吴静,中国科学院科技战略咨询研究院
540,132M1001H,公共管理学,Public Administration,一级学科核心课,公共管理,54/3.0,叶中华,公共政策与管理学院
541,132M2001H,公共伦理学,Ethics of Administration,一级学科普及课,公共管理,36/2.0,"刘红,李真真",公共政策与管理学院
542,133M4001H,知识产权法,Intellectual Property Law,专业核心课,民商法学,54/3.0,"李顺德,刘朝",公共政策与管理学院
543,133M4002H,民法学,Civil Law,专业核心课,民商法学,54/3.0,罗先觉,公共政策与管理学院
544,133M4003H,科技法学,Science and Technology Law,专业核心课,民商法学,54/3.0,"段异兵,唐素琴",公共政策与管理学院
545,133M4004H,法理学,Jurisprudence,专业核心课,民商法学,54/3.0,"李玲娟,肖尤丹",公共政策与管理学院
546,133M5004H,知识产权管理与运营,Intellectual Property Management,专业普及课,民商法学,36/2.0,"宋河发,刘海波",中国科学院科技战略咨询研究院
547,13MGB001H-01,知识产权,Intellectual Property Right,公共必修课,,20/1.0,张艳,公共政策与管理学院
548,13MGB001H-02,知识产权,Intellectual Property Right,公共必修课,,20/1.0,尹锋林,公共政策与管理学院
549,13MGB001H-03,知识产权,Intellectual Property Right,公共必修课,,20/1.0,唐素琴,公共政策与管理学院
550,13MGB001H-04,知识产权,Intellectual Property Right,公共必修课,,20/1.0,阎文军,公共政策与管理学院
551,13MGB001H-05,知识产权,Intellectual Property Right,公共必修课,,20/1.0,罗先觉,公共政策与管理学院
552,13MGB001H-06,知识产权,Intellectual Property Right,公共必修课,,20/1.0,李玲娟,公共政策与管理学院
